Tutor,Movil,Hijo,Edad,Nivel,Concepto,Importe,Grupo
María García Ruiz,600 123 456,Mateo,8,Verde,Cuota octubre,80,Grupo A
Javier Fernández,+34 612 345 678,Lucía,7,Naranja,Cuota octubre,80,Grupo B
Patricia Sánchez Moreno,0034 654 321 987,Hugo,10,Amarillo,Inscripción campus Navidad,150,Grupo C
David López,666 999 111,Sofía,6,Rojo,Cuota octubre,80,Grupo A
Carmen Jiménez Pérez,+34-687-654-321,Daniel,9,Verde,Pista particular,30,Particular
Antonio Rodríguez,634 222 333,Valeria,11,Amarillo,Cuota octubre,80,Grupo D
Laura Martínez Díaz,655 888 444,Pablo,8,Naranja,Inscripción campus Navidad,150,Grupo B
Miguel Ángel Torres,+34 678 909 121,Carla,7,Verde,Cuota octubre,80,Grupo A
Cristina Romero,617283940,Nicolás,12,Amarillo,Cuota octubre,80,Grupo D
Alejandro García,+34 633 121 314,Emma,6,Rojo,Cuota octubre,80,Grupo A
Beatriz Navarro,602 405 060,Adrián,10,Verde,Pista particular,30,Particular
Francisco Ruiz Vega,+34 698 717 819,Vega,9,Naranja,Cuota octubre,80,Grupo B
Elena Castro,651112233,Iker,8,Verde,Inscripción campus Navidad,150,Grupo A
Pablo Domínguez,+34 644 555 666,Noa,7,Naranja,Cuota octubre,80,Grupo B
Sara Herrera,672 333 444,Leo,11,Amarillo,Cuota octubre,80,Grupo D
Diego Vázquez,+34 685 252 525,Olivia,6,Rojo,Cuota octubre,80,Grupo A
Lucía Ortega,628 717 818,Jimena,9,Verde,Pista particular,30,Particular
Ana Belén Cano,+34 619 626 627,Bruno,8,Naranja,Cuota octubre,80,Grupo B
Roberto Aguilar,633 080 707,Aitana,10,Amarillo,Inscripción campus Navidad,150,Grupo C
Inmaculada Reyes,+34 642 343 343,Marcos,7,Naranja,Cuota octubre,80,Grupo B
Jorge Iglesias,665 232 323,Júlia,12,Amarillo,Cuota octubre,80,Grupo D
Pilar Ramos,+34 691 818 919,Álvaro,8,Verde,Cuota octubre,80,Grupo A
Sergio Méndez,627 545 545,Vera,6,Rojo,Cuota octubre,80,Grupo A
Mónica Soto,+34 613 909 808,Manuel,11,Amarillo,Pista particular,30,Particular
Raúl Hidalgo,sin teléfono,Eric,9,Verde,Cuota octubre,80,Grupo A
